Molecule ChEMBL ID,Smiles,Binary,Xch-7d,AXp-6d,n6aRing,AXp-3d,NaasC,ATSC1p,SpDiam_A,EState_VSA2,GATS4d,Xch-6dv,BCUTs-1h,AXp-4d,AXp-0d,BCUTd-1l,AMID_N,ETA_dEpsilon_D,BCUTdv-1h,nHBAcc,NsOH,JGI7,nAromAtom,BalabanJ,AXp-5d,Xch-6d,AATS5p,PEOE_VSA2,BCUTd-1h,SMR_VSA7,NaaCH,MDEC-33,AATS0d,TSRW10,EState_VSA1,pIC50
K072,n1c(cc(nc1)C(=O)NS(=O)(=O)c1ccccc1)c1ccc(c(c1)Cl)Cl,1,0.322622555,0.049047606,3,0.188477794,6,-1.514682472,4.795725328,10.58941147,1.001503759,0.072797943,7.014577194,0.121272596,0.720532309,0.971462205,0.233703063,0.022134039,6.022523625,5,0,0.015811012,18,1.529493036,0.077691283,0.253436788,1.553134258,4.794537184,4.04381963,76.66381831,10,5.969630594,3.972972973,61.03750051,15.93047088,7.602
K063,n1c(cc(nc1)C(=O)O)c1cccc(c1)C,1,0.227670901,0.053309977,2,0.190777187,4,0.120360233,4.693407566,5.693927995,1.04730992,0.044444444,7.00829168,0.123812717,0.72147535,0.972950358,0.254119038,0.032107843,6.022038679,3,1,0.01953125,12,1.87895414,0.08126832,0.166666667,1.317815943,0,3.152756526,47.9165349,6,3.87917614,3.461538462,48.1656203,5.969305288,7.77
K105,n1c(cc(nc1)C(=O)O)c1ccc(c(c1)Cl)OC1CCCCC1,0,0.323831443,0.050379483,2,0.18867797,5,-0.073430836,4.765720994,11.79789438,0.994299069,0.142785,7.008293211,0.121325839,0.705819132,0.972944186,0.176953904,0.023524845,6.022150433,4,1,0.019279971,12,1.473420095,0.079397724,0.253436788,1.447047817,0,3.18292592,41.30934966,5,6.336587839,3.375,57.14187138,5.969305288,6.367
K010,n1c(cc(nc1)C(=O)O)c1ccc(c(c1)F)C,1,0.271591518,0.051757586,2,0.193662669,5,0.116091613,4.730508754,11.51114884,0.813016748,0.040722928,8.001917942,0.119938597,0.730226417,0.972895564,0.239196453,0.033488951,7.004059099,3,1,0.022743056,12,1.889323518,0.07843985,0.151374715,1.22745531,0,3.181172486,47.66738868,5,5.269331926,3.653846154,49.63121178,5.969305288,9.046
K021,O=S(=O)(Nc1ccc(nn1)c1cccc2c1N(CC2)C)c1ccc(cc1)C,1,0.641069925,0.048192319,3,0.176442555,7,-1.099292132,4.88195568,10.71334625,1.053272002,0.184628116,7.014207832,0.112707275,0.704381374,0.971609317,0.306826952,0.018783069,6.017558969,5,0,0.018476339,18,1.284425266,0.073536325,0.454530031,1.299752343,4.722094864,4.043822269,65.7242066,9,5.09125925,3.574468085,76.52892341,10.02329115,8.699
K094,n1c(cc(cc1)C(=O)O)c1ccc(c(c1)Cl)Cl,0,0.271591518,0.051757586,2,0.193662669,5,0.492813421,4.730508754,5.563451492,0.912793734,0.045572835,7.008291766,0.119938597,0.730226417,0.972895564,0.12014489,0.033022098,6.022036451,2,1,0.022743056,12,1.889323518,0.07843985,0.151374715,1.54733862,4.983978521,3.181172486,52.13739703,6,5.269331926,3.875,49.63121178,5.969305288,7.046
K019,C(=O)(CCc1noc2c1cc(c(c2)O[C@H](C)c1ccc(nn1)C)Cl)O,1,0.568661356,0.049163035,2,0.183917226,5,0.020899496,4.829038684,18.94560963,1.012472794,0.079989744,7.008293675,0.113457743,0.718973081,0.972784239,0.242811323,0.023003663,6.033543691,6,1,0.016563209,15,1.489278967,0.074583317,0.343013034,1.429559891,4.794537184,3.245019784,46.36988557,4,9.262546125,3.56097561,73.61257802,5.969305288,8.699
K085,n1c(cc(nc1)C(=O)O)c1ccc(c(c1)Cl)OCC1CC1,0,0.358700747,0.050185672,2,0.187007346,5,-0.047647062,4.755548106,5.693927995,0.909415121,0.082389595,7.008292796,0.11992056,0.705696499,0.972946356,0.193779876,0.026376005,6.022141839,4,1,0.016144652,12,1.461833837,0.076539064,0.234708048,1.548684004,0,3.182593354,41.30934966,5,5.969630594,3.617647059,73.00633398,5.969305288,7.31
K114,C(=O)(CCn1c(=O)oc2c1cc(c(c2)OCC1CC1)Cl)O,0,0.661187615,0.046980316,1,0.17615925,2,-0.546841556,4.835043022,12.96557803,0.935819381,0.114306694,7.009379695,0.108559326,0.713464914,0.972681154,0.106385405,0.028829107,6.039209437,5,1,0.014526644,9,1.543318328,0.069709847,0.384122976,1.459571121,9.361636832,3.272934867,27.70596746,2,6.089612551,3.6,74.49348477,11.72536811,5.801
K101,C(=O)(C[C@@H](C(=O)O)N)c1cc(c(cc1)Cl)Cl,0,0.175366474,0.055324946,1,0.213004694,3,1.1162321,4.638808397,17.22669988,0.821409645,0.024056261,7.009368836,0.126282518,0.768283046,0.972598583,0.108207386,0.103336466,6.023203854,3,1,0.023533951,6,2.395211391,0.083648664,0.068041382,1.309361214,9.589074368,3.180179386,33.80781932,3,5.269331926,3.4,47.81794689,12.01114612,6.699
